"","operatingunit","countryname","snu1","snu1uid","psnu","psnuuid","fy16snuprioritization","tx_ret_denom","tx_ret_num","tx_ret_pct","tx_new","ou","ea_districts","national_sub_sub_unit","cbcts_lnkg_exp","cbcts_rtnadhr_exp","fbcts_loaded_tot"
"303","Cote d'Ivoire","Cote d'Ivoire","Gbeke","Ry4fZiNgHqs","Bouake-Sud","y7RJkbRqgJT","1 - Scale-Up: Saturation",276,227,0.822,607,"CotedIvoire","Bouake Sud","Bouake Sud",7186,48012,186342.56703
"304","Cote d'Ivoire","Cote d'Ivoire","Gbeke","Ry4fZiNgHqs","Sakassou","F5ehlSubWUq","4 - Sustained",96,68,0.708,157,"CotedIvoire","Sakassou","Sakassou",2249,5858,17124.029606
"305","Cote d'Ivoire","Cote d'Ivoire","Gbokle-Nawa-San Pedro","qF6xjc6BeFi","Gueyo","zULBF1vgW7M","4 - Sustained",44,38,0.864,114,"CotedIvoire","Gueyo","Gueyo",191,3054,40714.180274
"306","Cote d'Ivoire","Cote d'Ivoire","Gbokle-Nawa-San Pedro","qF6xjc6BeFi","San-Pedro","wvQfMc2sxSi","1 - Scale-Up: Saturation",558,464,0.832,1069,"CotedIvoire","San Pedro","San Pedro",,,664995.21646
"307","Cote d'Ivoire","Cote d'Ivoire","Gbokle-Nawa-San Pedro","qF6xjc6BeFi","Sassandra","xrTVfYGnCAq","2 - Scale-Up: Aggressive",83,71,0.855,364,"CotedIvoire","Sassandra","Sassandra",4060,19836,270620.9666
"308","Cote d'Ivoire","Cote d'Ivoire","Gbokle-Nawa-San Pedro","qF6xjc6BeFi","Soubre","jPk4oCBlN23","2 - Scale-Up: Aggressive",600,540,0.9,1095,"CotedIvoire","Soubre","Soubre",4443,,548906.09484
"309","Cote d'Ivoire","Cote d'Ivoire","Gbokle-Nawa-San Pedro","qF6xjc6BeFi","Tabou","O2PDFcA1UBs","2 - Scale-Up: Aggressive",94,78,0.83,327,"CotedIvoire","Tabou","Tabou",2016,21620,284181.39011
"310","Cote d'Ivoire","Cote d'Ivoire","Goh","CQNFlCBAutz","Gagnoa","HgAGgNFJBLO","1 - Scale-Up: Saturation",757,610,0.806,1359,"CotedIvoire","Gagnoa","Gagnoa",45577,68220,221897.01289
"311","Cote d'Ivoire","Cote d'Ivoire","Goh","CQNFlCBAutz","Oume","U7FcpSTowY0","2 - Scale-Up: Aggressive",278,217,0.781,408,"CotedIvoire","Oume","Oume",26112,39756,68121.007439
"312","Cote d'Ivoire","Cote d'Ivoire","Hambol","dndrrL0zj7f","Dabakala","o2U3SNx0JLJ","4 - Sustained",108,97,0.898,216,"CotedIvoire","Dabakala","Dabakala",983,3439,7365.994652
"313","Cote d'Ivoire","Cote d'Ivoire","Hambol","dndrrL0zj7f","Katiola","jNb2wWbxIk8","4 - Sustained",145,131,0.903,254,"CotedIvoire","Katiola","Katiola",2943,31074,9646.0590582
"314","Cote d'Ivoire","Cote d'Ivoire","Hambol","dndrrL0zj7f","Niakaramadougou","oeiTlj4Anh8","4 - Sustained",129,108,0.837,167,"CotedIvoire","Niakaramadougou","Niakaramadougou",169,594,4237.255
"315","Cote d'Ivoire","Cote d'Ivoire","Haut-Sassandra","XZaPAzso7Hf","Daloa","Afx3d2MkpEG","1 - Scale-Up: Saturation",1059,919,0.868,1752,"CotedIvoire","Daloa","Daloa",,,295976.97421
"316","Cote d'Ivoire","Cote d'Ivoire","Haut-Sassandra","XZaPAzso7Hf","Issia","xVqaF0orSHP","1 - Scale-Up: Saturation",404,303,0.75,724,"CotedIvoire","Issia","Issia",33093,49851,119914.61535
"317","Cote d'Ivoire","Cote d'Ivoire","Haut-Sassandra","XZaPAzso7Hf","Vavoua","MU6pT5Itenu","4 - Sustained",128,113,0.883,295,"CotedIvoire","Vavoua","Vavoua",8607,12910,46703.689
"318","Cote d'Ivoire","Cote d'Ivoire","Indenie-Djuablin","bfjeJlr9a0H","Abengourou","qHfnRvlDq0u","2 - Scale-Up: Aggressive",460,388,0.843,701,"CotedIvoire","Abengourou","Abengourou",,,161245.25824
"319","Cote d'Ivoire","Cote d'Ivoire","Indenie-Djuablin","bfjeJlr9a0H","Agnibilekrou","nYehWt8N4nw","4 - Sustained",222,193,0.869,426,"CotedIvoire","Agnibilekrou","Agnibilekrou",1189,2377,26512.822215
"320","Cote d'Ivoire","Cote d'Ivoire","Indenie-Djuablin","bfjeJlr9a0H","Bettie","f4tnMBWJUve","4 - Sustained",29,28,0.966,86,"CotedIvoire","Bettie","Bettie",838,1676,8926.6604914
"321","Cote d'Ivoire","Cote d'Ivoire","Kabadougou-Bafing-Folon","gsQNaHt0oUW","Minignan","FeQubuYk5yj","4 - Sustained",15,11,0.733,50,"CotedIvoire","Minignan","Minignan",0,0,5641.08
"322","Cote d'Ivoire","Cote d'Ivoire","Kabadougou-Bafing-Folon","gsQNaHt0oUW","Odienne","adZqc2OAgKp","4 - Sustained",137,89,0.65,292,"CotedIvoire","Odienne","Odienne",0,0,105837.33545
"323","Cote d'Ivoire","Cote d'Ivoire","Kabadougou-Bafing-Folon","gsQNaHt0oUW","Touba","HJBwHZDHtwK","4 - Sustained",83,52,0.627,164,"CotedIvoire","Touba","Touba",0,0,25337.145309
"324","Cote d'Ivoire","Cote d'Ivoire","Loh-Djiboua","ud2hyDehnZs","Divo","rRlVGR4SAOy","2 - Scale-Up: Aggressive",429,344,0.802,719,"CotedIvoire","Divo","Divo",,,380570.84416
"325","Cote d'Ivoire","Cote d'Ivoire","Loh-Djiboua","ud2hyDehnZs","Fresco","ZCxKKMtE0hA","4 - Sustained",92,81,0.88,123,"CotedIvoire","Fresco","Fresco",18436,9217,102589.89841
"326","Cote d'Ivoire","Cote d'Ivoire","Loh-Djiboua","ud2hyDehnZs","Lakota","rqem7WGjUpm","4 - Sustained",152,118,0.776,276,"CotedIvoire","Lakota","Lakota",18600,9299,136715.86878
"327","Cote d'Ivoire","Cote d'Ivoire","Marahoue","darR7PaS1At","Bouafle","zxtqOKeUsFf","1 - Scale-Up: Saturation",334,292,0.874,601,"CotedIvoire","Bouafle","Bouafle",23003,33645,106673.77689
"328","Cote d'Ivoire","Cote d'Ivoire","Marahoue","darR7PaS1At","Sinfra","LUgbTJHOa8M","2 - Scale-Up: Aggressive",192,163,0.849,372,"CotedIvoire","Sinfra","Sinfra",15158,22387,72072.594966
"329","Cote d'Ivoire","Cote d'Ivoire","Marahoue","darR7PaS1At","Zuenoula","KgKj4XmQtQX","4 - Sustained",153,117,0.765,232,"CotedIvoire","Zuenoula","Zuenoula",5622,8301,37461.1746
"330","Cote d'Ivoire","Cote d'Ivoire","N'zi-ifou","uhdeYtg5mzU","Bocanda","sg5OeSC3e76","4 - Sustained",90,75,0.833,161,"CotedIvoire","Bocanda","Bocanda",1457,2915,17823.209577
"331","Cote d'Ivoire","Cote d'Ivoire","N'zi-ifou","uhdeYtg5mzU","Bongouanou","pKg0FPsUjcz","2 - Scale-Up: Aggressive",434,369,0.85,854,"CotedIvoire","Bongouanou","Bongouanou",4169,7556,122493.41816
"332","Cote d'Ivoire","Cote d'Ivoire","N'zi-ifou","uhdeYtg5mzU","Daoukro","FIP1evPz2kO","4 - Sustained",291,252,0.866,381,"CotedIvoire","Daoukro","Daoukro",1076,1927,35758.151727
"333","Cote d'Ivoire","Cote d'Ivoire","N'zi-ifou","uhdeYtg5mzU","Dimbokro","EwBdT0P1NoK","4 - Sustained",117,101,0.863,332,"CotedIvoire","Dimbokro","Dimbokro",5191,4516,81511.204524
"334","Cote d'Ivoire","Cote d'Ivoire","N'zi-ifou","uhdeYtg5mzU","M'bahiakro","QVU3rUTd6WX","4 - Sustained",30,21,0.7,52,"CotedIvoire","M'Bahiakro","M'Bahiakro",825,1649,9085.748042
"335","Cote d'Ivoire","Cote d'Ivoire","N'zi-ifou","uhdeYtg5mzU","Prikro","glRlVubWojg","4 - Sustained",51,41,0.804,139,"CotedIvoire","Prikro","Prikro",0,0,8950.0119093
"336","Cote d'Ivoire","Cote d'Ivoire","Poro-Tchologo-Bagoue","y7mG2j0VDi1","Boundiali","AY20w05Wc9q","4 - Sustained",112,76,0.679,178,"CotedIvoire","Boundiali","Boundiali",1655,25556,7691.3865854
"337","Cote d'Ivoire","Cote d'Ivoire","Poro-Tchologo-Bagoue","y7mG2j0VDi1","Ferkessedougou","Ro2e9NndrG9","4 - Sustained",154,132,0.857,386,"CotedIvoire","Ferkessedougou","Ferkessedougou",3732,40663,70613.296245
"338","Cote d'Ivoire","Cote d'Ivoire","Poro-Tchologo-Bagoue","y7mG2j0VDi1","Korhogo","TXjA0WtW8ul","1 - Scale-Up: Saturation",757,641,0.847,1623,"CotedIvoire","Korhogo","Korhogo",28787,116750,174973.25162
"339","Cote d'Ivoire","Cote d'Ivoire","Poro-Tchologo-Bagoue","y7mG2j0VDi1","Ouangolodougou","eSuJxZpd2tT","4 - Sustained",93,83,0.892,164,"CotedIvoire","Ouangolodougou","Ouangolodougou",762,6281,48344.534848
"340","Cote d'Ivoire","Cote d'Ivoire","Poro-Tchologo-Bagoue","y7mG2j0VDi1","Tengrela","GZd9VUpRF9b","4 - Sustained",20,20,1,77,"CotedIvoire","Tengrela","Tengrela",941,3294,5212.2469
"341","Cote d'Ivoire","Cote d'Ivoire","Tonkpi","QAvyrYDx54a","Biankouma","lDZEiz8wxkg","4 - Sustained",77,63,0.818,167,"CotedIvoire","Biankouma","Biankouma",0,0,47830.099465
"342","Cote d'Ivoire","Cote d'Ivoire","Tonkpi","QAvyrYDx54a","Danane","iclnG0nW8le","4 - Sustained",259,186,0.718,426,"CotedIvoire","Danane","Danane",136,91,97668.797789
"343","Cote d'Ivoire","Cote d'Ivoire","Tonkpi","QAvyrYDx54a","Man","GeLP2HBm78g","1 - Scale-Up: Saturation",380,304,0.8,907,"CotedIvoire","Man","Man",4780,3617,340698.60974
"344","Cote d'Ivoire","Cote d'Ivoire","Tonkpi","QAvyrYDx54a","Zouhan Hounien","gxpIzB7TH6b","4 - Sustained",80,66,0.825,265,"CotedIvoire","Zouan-Hounien","Zouan-Hounien",0,0,59613.474027
"345","Cote d'Ivoire","Cote d'Ivoire","Worodougou-Bere","k0YgiUwf6v2","Mankono","tqjCSI7HOIk","2 - Scale-Up: Aggressive",221,189,0.855,423,"CotedIvoire","Mankono","Mankono",13340,20009,83126.443094
"346","Cote d'Ivoire","Cote d'Ivoire","Worodougou-Bere","k0YgiUwf6v2","seguela","eoAobHIVIBN","4 - Sustained",165,116,0.703,342,"CotedIvoire","Seguela","Seguela",5652,8478,45793.910424
"347","Democratic Republic of the Congo","Democratic Republic of the Congo","_Military Democratic Republic of the Congo","MTlUjdz0HYY","_Military Democratic Republic of the Congo","MTlUjdz0HYY",,583,473,0.811,997,"DRC","_Military Democratic Republic of the Congo","_Military Democratic Republic of the Congo",0,0,397568.52442
"348","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",22,11,0.5,46,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"349","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",229,89,0.389,246,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"350","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",0,5,Inf,64,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"351","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",530,378,0.713,659,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"352","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",132,119,0.902,222,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"353","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",284,230,0.81,214,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"354","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",30,14,0.467,57,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"355","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",155,115,0.742,367,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"356","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",600,463,0.772,1107,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"357","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",671,521,0.776,250,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"358","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",202,107,0.53,306,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"359","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",320,246,0.769,288,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"360","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",602,363,0.603,689,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"361","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB",,0,0,,0,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"362","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",758,572,0.755,359,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"363","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",939,794,0.846,734,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"364","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB",,82,56,0.683,58,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"365","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",235,172,0.732,261,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"366","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",149,141,0.946,170,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"367","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",76,58,0.763,196,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"368","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",428,311,0.727,553,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"369","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","4 - Sustained",543,398,0.733,646,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"370","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB","1 - Scale-Up: Saturation",323,246,0.762,307,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"371","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","ZUY45BaAesB","Haut-Katanga","ZUY45BaAesB",,0,0,,0,"DRC","Haut-Katanga","Haut-Katanga",251255,312169,4777005.3896
"372","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",336,43,0.128,38,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"373","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",0,0,,8,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"374","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",802,139,0.173,54,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"375","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",0,0,,10,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"376","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",5,4,0.8,5,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"377","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",0,0,,10,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"378","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",2,2,1,4,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"379","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",10,8,0.8,83,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"380","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","s169qh2mTVh","Haut-Lomami","s169qh2mTVh","6 - Sustained: Commodities",5,4,0.8,24,"DRC","Haut-Lomami","Haut-Lomami",1850,29619,456037.67932
"381","Democratic Republic of the Congo","Democratic Republic of the Congo","Ituri","cPqdkqtQnll","Ituri","cPqdkqtQnll","6 - Sustained: Commodities",249,100,0.402,113,"DRC","I'Ituri","I'Ituri",4589,73436,732790.11054
"382","Democratic Republic of the Congo","Democratic Republic of the Congo","Ituri","cPqdkqtQnll","Ituri","cPqdkqtQnll","6 - Sustained: Commodities",548,238,0.434,197,"DRC","I'Ituri","I'Ituri",4589,73436,732790.11054
"383","Democratic Republic of the Congo","Democratic Republic of the Congo","Ituri","cPqdkqtQnll","Ituri","cPqdkqtQnll","6 - Sustained: Commodities",458,99,0.216,217,"DRC","I'Ituri","I'Ituri",4589,73436,732790.11054
"384","Democratic Republic of the Congo","Democratic Republic of the Congo","Ituri","cPqdkqtQnll","Ituri","cPqdkqtQnll","6 - Sustained: Commodities",211,76,0.36,112,"DRC","I'Ituri","I'Ituri",4589,73436,732790.11054
"385","Democratic Republic of the Congo","Democratic Republic of the Congo","Ituri","cPqdkqtQnll","Ituri","cPqdkqtQnll","6 - Sustained: Commodities",130,79,0.608,59,"DRC","I'Ituri","I'Ituri",4589,73436,732790.11054
"386","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",183,149,0.814,166,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"387","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",178,124,0.697,85,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"388","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",271,167,0.616,280,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"389","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",204,159,0.779,308,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"390","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",49,29,0.592,99,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"391","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",140,102,0.729,170,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"392","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",79,42,0.532,71,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"393","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",119,86,0.723,122,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"394","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",123,84,0.683,87,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"395","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",239,189,0.791,128,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"396","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",239,163,0.682,255,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"397","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",185,129,0.697,234,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"398","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",307,235,0.765,368,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"399","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",338,239,0.707,389,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"400","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",231,220,0.952,298,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"401","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",161,126,0.783,177,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"402","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",79,48,0.608,44,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"403","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj",,0,0,,0,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"404","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",262,207,0.79,152,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"405","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",278,224,0.806,360,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"406","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",88,77,0.875,149,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"407","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",61,31,0.508,55,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"408","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",54,31,0.574,82,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"409","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",0,0,,16,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"410","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",386,331,0.858,482,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"411","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",386,356,0.922,381,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"412","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",176,147,0.835,168,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"413","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",211,193,0.915,255,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"414","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",111,68,0.613,163,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"415","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","1 - Scale-Up: Saturation",307,247,0.805,479,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"416","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",281,239,0.851,274,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"417","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","6 - Sustained: Commodities",77,67,0.87,58,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
"418","Democratic Republic of the Congo","Democratic Republic of the Congo","Kinshasa","hIPJyWupajj","Kinshasa","hIPJyWupajj","4 - Sustained",219,156,0.712,253,"DRC","Kinshasa","Kinshasa",30380,222947,5005695.7443
